country_code,region,service_org,category,group_id,group_label,channel_id,name,label,rx_frequency_hz,tx_frequency_hz,mode,is_primary_mode,bandwidth_khz,rx_tone,tx_tone,colour_code,timeslot,talkgroup_id,encryption,status,confidence,source_type,source_url,source_title,source_date,source_url_2,notes
GB,,UK Fire and Rescue Services,fire,gb-ukfrs-fireground,UK FRS national fireground,ch-1,UKFRS FG1,UK FRS Fireground 1 General incident,457037500,457037500,dmr,true,,,,1,1,,none,active,high,official,https://assets.grenfelltowerinquiry.org.uk/CWJ00000114_National%20Operational%20Guidance%20and%20National%20Fire%20Chiefs%20Council%20%27Fireground%20Radios%20Guidance%27.pdf,NFCC Fireground Radios Guidance (Grenfell Inquiry exhibit CWJ00000114),2020-11-09,https://www.ofcom.org.uk/siteassets/resources/documents/spectrum/spectrum-information/frequency-allocation-table/fat-emergency-services.pdf?v=322548,National UK-wide simplex assignment licensed by Ofcom to FRS. NFCC states regulations require clear speech (not encrypted). DMR is the post-2017 recommended primary; analogue remains for interoperability. NFCC standard DMR codeplug uses colour code 1 timeslot 1 and group ID 901 (talkgroup_id left blank for promiscuous monitor use). Original URL 301s to the UK Government Web Archive.
GB,,UK Fire and Rescue Services,fire,gb-ukfrs-fireground,UK FRS national fireground,ch-1,UKFRS FG1,UK FRS Fireground 1 General incident,457037500,457037500,fm,false,12.5,,,,,,none,active,high,official,https://assets.grenfelltowerinquiry.org.uk/CWJ00000114_National%20Operational%20Guidance%20and%20National%20Fire%20Chiefs%20Council%20%27Fireground%20Radios%20Guidance%27.pdf,NFCC Fireground Radios Guidance (Grenfell Inquiry exhibit CWJ00000114),2020-11-09,https://www.ofcom.org.uk/siteassets/resources/documents/spectrum/spectrum-information/frequency-allocation-table/fat-emergency-services.pdf?v=322548,Legacy analogue assignment on the same frequency as the DMR row. Licence lists 25 kHz channel centres; NFCC describes 12.5 kHz operating channels with a guard band. No CTCSS documented.
GB,,UK Fire and Rescue Services,fire,gb-ukfrs-fireground,UK FRS national fireground,ch-2,UKFRS FG2,UK FRS Fireground 2 Portable repeaters,457087500,462587500,dmr,true,,,,2,1,,none,active,high,official,https://assets.grenfelltowerinquiry.org.uk/CWJ00000114_National%20Operational%20Guidance%20and%20National%20Fire%20Chiefs%20Council%20%27Fireground%20Radios%20Guidance%27.pdf,NFCC Fireground Radios Guidance (Grenfell Inquiry exhibit CWJ00000114),2020-11-09,https://www.ofcom.org.uk/siteassets/resources/documents/spectrum/spectrum-information/frequency-allocation-table/fat-emergency-services.pdf?v=322548,Portable-repeater (half-duplex) assignment. rx_frequency_hz is the mobile receive / repeater-output leg; tx_frequency_hz is the mobile transmit leg. NFCC standard DMR codeplug: colour code 2 timeslot 1.
GB,,UK Fire and Rescue Services,fire,gb-ukfrs-fireground,UK FRS national fireground,ch-2,UKFRS FG2,UK FRS Fireground 2 Portable repeaters,457087500,462587500,fm,false,12.5,,,,,,none,active,high,official,https://assets.grenfelltowerinquiry.org.uk/CWJ00000114_National%20Operational%20Guidance%20and%20National%20Fire%20Chiefs%20Council%20%27Fireground%20Radios%20Guidance%27.pdf,NFCC Fireground Radios Guidance (Grenfell Inquiry exhibit CWJ00000114),2020-11-09,https://www.ofcom.org.uk/siteassets/resources/documents/spectrum/spectrum-information/frequency-allocation-table/fat-emergency-services.pdf?v=322548,Analogue counterpart of the portable-repeater pair. No CTCSS documented.
GB,,UK Fire and Rescue Services,fire,gb-ukfrs-fireground,UK FRS national fireground,ch-3,UKFRS FG3,UK FRS Fireground 3 Breathing apparatus,457487500,457487500,dmr,true,,,,3,1,,none,active,high,official,https://assets.grenfelltowerinquiry.org.uk/CWJ00000114_National%20Operational%20Guidance%20and%20National%20Fire%20Chiefs%20Council%20%27Fireground%20Radios%20Guidance%27.pdf,NFCC Fireground Radios Guidance (Grenfell Inquiry exhibit CWJ00000114),2020-11-09,https://www.ofcom.org.uk/siteassets/resources/documents/spectrum/spectrum-information/frequency-allocation-table/fat-emergency-services.pdf?v=322548,National simplex BA communications channel. Distinct from the BA telemetry assignment at 469.900 MHz which is not voice and is not recorded here.
GB,,UK Fire and Rescue Services,fire,gb-ukfrs-fireground,UK FRS national fireground,ch-3,UKFRS FG3,UK FRS Fireground 3 Breathing apparatus,457487500,457487500,fm,false,12.5,,,,,,none,active,high,official,https://assets.grenfelltowerinquiry.org.uk/CWJ00000114_National%20Operational%20Guidance%20and%20National%20Fire%20Chiefs%20Council%20%27Fireground%20Radios%20Guidance%27.pdf,NFCC Fireground Radios Guidance (Grenfell Inquiry exhibit CWJ00000114),2020-11-09,https://www.ofcom.org.uk/siteassets/resources/documents/spectrum/spectrum-information/frequency-allocation-table/fat-emergency-services.pdf?v=322548,Analogue BA communications assignment. No CTCSS documented.
GB,,UK Fire and Rescue Services,fire,gb-ukfrs-fireground,UK FRS national fireground,ch-4,UKFRS FG4,UK FRS Fireground 4 Command support,457187500,457187500,dmr,true,,,,4,1,,none,active,high,official,https://assets.grenfelltowerinquiry.org.uk/CWJ00000114_National%20Operational%20Guidance%20and%20National%20Fire%20Chiefs%20Council%20%27Fireground%20Radios%20Guidance%27.pdf,NFCC Fireground Radios Guidance (Grenfell Inquiry exhibit CWJ00000114),2020-11-09,https://www.ofcom.org.uk/siteassets/resources/documents/spectrum/spectrum-information/frequency-allocation-table/fat-emergency-services.pdf?v=322548,National simplex command-support channel. NFCC standard DMR codeplug: colour code 4 timeslot 1.
GB,,UK Fire and Rescue Services,fire,gb-ukfrs-fireground,UK FRS national fireground,ch-4,UKFRS FG4,UK FRS Fireground 4 Command support,457187500,457187500,fm,false,12.5,,,,,,none,active,high,official,https://assets.grenfelltowerinquiry.org.uk/CWJ00000114_National%20Operational%20Guidance%20and%20National%20Fire%20Chiefs%20Council%20%27Fireground%20Radios%20Guidance%27.pdf,NFCC Fireground Radios Guidance (Grenfell Inquiry exhibit CWJ00000114),2020-11-09,https://www.ofcom.org.uk/siteassets/resources/documents/spectrum/spectrum-information/frequency-allocation-table/fat-emergency-services.pdf?v=322548,Analogue command-support assignment. No CTCSS documented.
GB,,UK Fire and Rescue Services,fire,gb-ukfrs-fireground,UK FRS national fireground,ch-5,UKFRS FG5,UK FRS Fireground 5 Fixed site repeaters,457137500,462637500,dmr,true,,,,5,1,,none,active,high,official,https://assets.grenfelltowerinquiry.org.uk/CWJ00000114_National%20Operational%20Guidance%20and%20National%20Fire%20Chiefs%20Council%20%27Fireground%20Radios%20Guidance%27.pdf,NFCC Fireground Radios Guidance (Grenfell Inquiry exhibit CWJ00000114),2020-11-09,https://www.ofcom.org.uk/siteassets/resources/documents/spectrum/spectrum-information/frequency-allocation-table/fat-emergency-services.pdf?v=322548,Fixed-site repeater (half-duplex) assignment. rx_frequency_hz is the mobile receive / repeater-output leg; tx_frequency_hz is the mobile transmit leg. NFCC standard DMR codeplug: colour code 5 timeslot 1.
GB,,UK Fire and Rescue Services,fire,gb-ukfrs-fireground,UK FRS national fireground,ch-5,UKFRS FG5,UK FRS Fireground 5 Fixed site repeaters,457137500,462637500,fm,false,12.5,,,,,,none,active,high,official,https://assets.grenfelltowerinquiry.org.uk/CWJ00000114_National%20Operational%20Guidance%20and%20National%20Fire%20Chiefs%20Council%20%27Fireground%20Radios%20Guidance%27.pdf,NFCC Fireground Radios Guidance (Grenfell Inquiry exhibit CWJ00000114),2020-11-09,https://www.ofcom.org.uk/siteassets/resources/documents/spectrum/spectrum-information/frequency-allocation-table/fat-emergency-services.pdf?v=322548,Analogue counterpart of the fixed-site repeater pair. No CTCSS documented.
